Date,Lo 30,Med 40,Hi 30,Lo 20,Qnt 2,Qnt 3,Qnt 4,Hi 20,Lo 10,2-Dec,3-Dec,4-Dec,5-Dec,6-Dec,7-Dec,8-Dec,9-Dec,Hi 10
2005-09-30,0.0044,0.0034000000000000002,0.0149,0.0054,-0.0001,-0.0015,0.0124,0.018799999999999997,0.0144,-0.0004,0.003,-0.0034999999999999996,-0.005699999999999999,0.0017000000000000001,0.0155,0.009899999999999999,0.0215,0.0158
2005-10-31,-0.0294,-0.0189,-0.0089,-0.029300000000000003,-0.0173,-0.011399999999999999,-0.0223,-0.0091,-0.0403,-0.0222,-0.0294,-0.004,-0.0232,-0.0023,-0.0393,-0.0086,-0.0208,0.0038
2005-11-30,0.0371,0.0291,0.051399999999999994,0.0288,0.049,0.020499999999999997,0.044199999999999996,0.0489,0.028399999999999998,0.028999999999999998,0.0484,0.0496,0.0126,0.0262,0.030699999999999998,0.0547,0.0434,0.0546
2005-12-31,-0.0006,0.0003,0.0014000000000000002,0.0021,-0.0054,0.0072,-0.0031,0.003,0.0096,-0.0025,-0.0040999999999999995,-0.0068000000000000005,0.0178,-0.0005,-0.0064,-0.0006,0.0012,0.0049
2006-01-31,0.0365,0.0319,0.0331,0.0496,0.0177,0.0259,0.0342,0.042300000000000004,0.0579,0.044500000000000005,0.0192,0.016,0.0397,0.015700000000000002,0.051399999999999994,0.021400000000000002,0.0564,0.0277
2006-02-28,0.01,0.0034000000000000002,-0.0070999999999999995,0.012199999999999999,0.0051,0.0127,-0.0074,-0.009000000000000001,0.0083,0.0146,0.0070999999999999995,0.0028000000000000004,0.0158,0.0103,-0.0108,-0.004699999999999999,-0.0068000000000000005,-0.0113
2006-03-31,0.0175,0.0144,0.022400000000000003,0.024900000000000002,0.0152,0.0075,0.0219,0.021400000000000002,0.022099999999999998,0.026600000000000002,0.0075,0.023799999999999998,0.0048,0.0096,0.019799999999999998,0.0236,0.0207,0.0222
2006-04-30,0.0113,0.0105,0.0109,0.01,0.008,0.0102,0.0124,0.011699999999999999,0.0177,0.0054,0.0131,0.0024,0.0072,0.0124,0.0158,0.0098,0.0101,0.013300000000000001
2006-05-31,-0.0253,-0.0165,-0.046900000000000004,-0.0265,-0.021,-0.013000000000000001,-0.0286,-0.056299999999999996,-0.0138,-0.0342,-0.023700000000000002,-0.018000000000000002,-0.0216,-0.0066,-0.0213,-0.0344,-0.058899999999999994,-0.0535
2006-06-30,0.003,-0.0013,0.0019,0.0049,0.0009,-0.0018,-0.0013,0.0039000000000000003,0.0101,0.0018,0.0004,0.0014000000000000002,0.004,-0.006,-0.0022,-0.0005,-0.0012,0.0092
2006-07-31,-0.0077,0.006,-0.0127,-0.0046,-0.0024,0.0115,-0.0171,-0.009399999999999999,-0.0139,0.008199999999999999,-0.0129,0.0102,0.0183,0.0018,-0.0165,-0.0174,-0.0017000000000000001,-0.0183
2006-08-31,0.041299999999999996,0.023399999999999997,0.009899999999999999,0.049699999999999994,0.025699999999999997,0.0286,0.0067,0.011699999999999999,0.044500000000000005,0.056799999999999996,0.0269,0.024300000000000002,0.026000000000000002,0.032400000000000005,0.0055000000000000005,0.0074,0.0152,0.0075
2006-09-30,0.029300000000000003,0.0167,0.024,0.0304,0.0259,0.0124,0.0254,0.0215,0.0353,0.023799999999999998,0.0274,0.0242,0.011399999999999999,0.0139,0.0218,0.0276,0.0195,0.024
2006-10-31,0.0365,0.036699999999999997,0.0346,0.0327,0.0362,0.0421,0.0256,0.042699999999999995,0.0313,0.0345,0.0433,0.0278,0.047,0.035,0.029900000000000003,0.023,0.0315,0.0558
